"log_csize_cent","In.2L.t","In.2R.NS","In.3R.K","In.3R.Mo","pop_sub[, 2]","pop_sub[, 3]","wolbachia"
0.0257192724841329,1,2,1,1,-0.00551944,-0.0758134,1
0.0210322462705002,1,1,2,1,-0.0297646,0.016692,1
-0.0617266068669051,1,1,1,1,0.0062205,-0.0508666,1
-0.0460945451055819,1,2,1,1,-0.0370149,-0.0259849,2
0.00799379494532926,1,1,1,1,-0.0314737,-0.0194123,1
0.0215142444992498,2,1,1,1,0.0147573,0.00680768,1
0.0156018913211471,1,1,1,1,-0.0358143,-0.0233199,1
-0.0821052944894216,2,1,1,1,0.00629888,-0.000449368,1
-0.0362861465176505,1,1,2,1,-0.0665581,0.241853,1
0.00119664202329917,1,1,1,1,-0.0300664,-0.0131013,1
0.0604984763547451,1,1,2,1,-0.0305801,0.0156646,2
0.0902792754027029,1,1,1,1,-0.0254672,-0.0187401,2
0.0453785740290724,1,1,1,1,-0.0293844,-0.011562,2
0.0480929154066574,2,1,1,1,0.19199,0.0596694,1
0.0102541573259958,1,1,1,1,-0.0289322,-0.0139697,2
-0.00514851689389073,1,1,1,1,-0.0293114,-0.0202311,1
-0.0155676314644151,1,1,1,1,-0.0254071,-0.0145783,2
0.0486296204962373,1,1,1,1,-0.0238716,-0.0137008,1
0.0347025201165871,1,1,1,1,-0.023373,-0.0151234,1
0.0399053859836769,1,1,1,1,-0.0235377,-0.0122002,1
-0.0577806214024936,1,1,1,1,-0.0299094,-0.0190322,2
-0.0300758937060326,1,1,1,1,-0.0213769,-0.00214161,2
-0.047837691501718,1,1,2,1,-0.0316624,0.0211806,1
-0.116154429593751,2,1,1,1,0.164178,0.0302616,1
-0.0703385552315356,1,1,1,1,-0.0139745,-0.00880637,2
-0.0176029797889214,1,1,1,1,-0.0281676,-0.01848,1
-0.104443758676106,1,1,1,1,-0.00964135,-0.0266519,1
-0.0425749100646888,2,1,1,2,0.236382,-0.0186827,1
-0.0526356961854786,2,1,1,2,0.0318803,-0.0436756,2
-0.00975888990195362,1,1,1,1,-0.0233827,-0.0138659,1
-0.00647534194805899,2,1,1,2,0.253009,-0.0238887,1
-0.0241318435262816,2,1,1,1,0.189685,0.0435366,1
0.0257742878978877,1,1,1,1,-0.0253466,-0.0146582,2
-0.0475982225884413,1,1,1,1,-0.0290419,-0.0131544,2
-0.0218174490681562,1,1,1,1,-0.0234686,-0.0120748,1
0.0424706159930699,1,1,1,1,-0.0252483,-0.0113619,2
-0.0044198918798366,1,1,1,2,0.00224354,-0.0548053,2
0.0316915089318164,1,1,1,1,-0.0252256,-0.0156388,1
-0.00549095062169824,2,2,1,1,0.00567084,-0.00694983,1
0.00743487687160438,1,1,1,1,-0.0167367,-0.0169212,2
-0.0222782957938756,2,1,1,1,0.156348,0.0305265,1
0.038845795701538,1,1,1,1,-0.0287401,-0.00823898,1
-0.0103327063650642,1,1,1,1,-0.043697,-0.0509863,1
0.0446952316788669,1,1,1,1,-0.0323573,-0.00768898,1
-0.0102985909537829,1,1,1,2,0.000103567,-0.057488,1
0.0352584335604,1,1,2,1,-0.0286679,0.0192095,2
-0.00967236204247945,1,1,1,1,-0.0269509,-0.0142647,2
0.0451974414796525,2,1,1,1,0.00984911,-0.00104222,1
0.0238100155670098,1,1,1,1,-0.0325107,-0.0150819,1
0.0653446981880987,2,1,1,2,0.202814,0.0502153,1
-0.0304161316630343,1,1,1,1,-0.0289846,-0.0111036,1
0.0134673389643225,1,1,1,1,-0.0307987,-0.0187013,1
-0.00304809961388086,1,1,1,1,-0.0280207,-0.0165371,2
0.0307837759017009,1,1,1,1,-0.0321021,-0.0130919,2
-0.048713099909742,1,1,1,1,-0.0235197,-0.0190218,2
0.0511682558669648,1,1,2,1,-0.116596,0.514433,2
0.051861079447441,1,1,1,2,-0.00769555,-0.0512687,2
-0.0285371292199339,1,1,1,2,0.00205059,-0.0572646,2
-0.0119985680594388,1,1,1,1,-0.0316372,-0.0203163,2
-0.00512203935467537,1,1,1,1,-0.00632304,-0.0155653,2
-0.0329119455285494,1,1,1,2,-0.0126046,-0.0289137,2
0.0525614135513612,1,1,1,1,-0.0228155,-0.0110083,1
-0.035636129963164,1,1,1,1,-0.116543,0.495556,2
0.0105393585768814,1,1,1,1,-0.0320773,-0.0193387,2
-0.0272363799272384,1,1,1,1,-0.0678963,0.15948,2
-0.0363351386978576,1,1,1,1,-0.0255018,-0.0113351,2
0.0895521808142317,2,1,2,1,0.0138593,0.0284008,2
0.0234774265124595,1,1,1,1,-0.0274103,-0.0216983,2
0.0236923900617929,1,1,1,1,-0.0261756,-0.0144812,1
0.00964401170655838,2,2,1,1,0.00452249,-0.0315803,1
-0.0105088375770435,1,1,1,2,-0.0018584,-0.0440154,2
0.0536526610175938,1,1,1,1,-0.0361581,-0.0175507,2
0.0261062192212644,1,1,1,1,-0.0398504,-0.0149137,2
0.00944421868621759,1,2,1,1,-0.0411552,-0.0442608,2
0.0249682007413765,1,1,1,2,-0.0153471,-0.0368186,2
0.0351626465099912,1,2,1,1,-0.0264138,-0.017282,1
-0.0225326266881194,1,1,1,2,0.00105655,-0.036746,2
-0.0603997500524929,1,1,1,1,-0.037,-0.0337467,2
-0.0190294017529182,1,1,1,1,-0.0456267,-0.00249597,2
0.0338716345982955,1,1,1,1,-0.031526,-0.0211604,2
-0.00575297258104146,2,1,1,1,0.185271,0.0345833,1
-0.037390538572422,1,1,1,1,-0.0304034,-0.00481071,2
0.00294187663204037,1,1,1,2,-0.00334001,-0.0465784,1
